,Disease,Combined_Symptoms,Precaution_1,Precaution_2,Precaution_3,Precaution_4
0,Fungal infection,"itching,  skin_rash,  nodal_skin_eruptions,  dischromic _patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
1,Fungal infection," skin_rash,  nodal_skin_eruptions,  dischromic _patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
2,Fungal infection,"itching,  nodal_skin_eruptions,  dischromic _patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
3,Fungal infection,"itching,  skin_rash,  dischromic _patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
4,Fungal infection,"itching,  skin_rash,  nodal_skin_eruptions",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
5,Fungal infection," skin_rash,  nodal_skin_eruptions,  dischromic _patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
6,Fungal infection,"itching,  nodal_skin_eruptions,  dischromic _patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
7,Fungal infection,"itching,  skin_rash,  dischromic _patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
8,Fungal infection,"itching,  skin_rash,  nodal_skin_eruptions",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
9,Fungal infection,"itching,  skin_rash,  nodal_skin_eruptions,  dischromic _patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
10,Allergy," continuous_sneezing,  shivering,  chills,  watering_from_eyes",apply calamine,cover area with bandage,,use ice to compress itching
11,Allergy," shivering,  chills,  watering_from_eyes",apply calamine,cover area with bandage,,use ice to compress itching
12,Allergy," continuous_sneezing,  chills,  watering_from_eyes",apply calamine,cover area with bandage,,use ice to compress itching
13,Allergy," continuous_sneezing,  shivering,  watering_from_eyes",apply calamine,cover area with bandage,,use ice to compress itching
14,Allergy," continuous_sneezing,  shivering,  chills",apply calamine,cover area with bandage,,use ice to compress itching
15,Allergy," shivering,  chills,  watering_from_eyes",apply calamine,cover area with bandage,,use ice to compress itching
16,Allergy," continuous_sneezing,  chills,  watering_from_eyes",apply calamine,cover area with bandage,,use ice to compress itching
17,Allergy," continuous_sneezing,  shivering,  watering_from_eyes",apply calamine,cover area with bandage,,use ice to compress itching
18,Allergy," continuous_sneezing,  shivering,  chills",apply calamine,cover area with bandage,,use ice to compress itching
19,Allergy," continuous_sneezing,  shivering,  chills,  watering_from_eyes",apply calamine,cover area with bandage,,use ice to compress itching
20,GERD," stomach_pain,  acidity,  ulcers_on_tongue,  vomiting,  cough,  chest_pain",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
21,GERD," stomach_pain,  ulcers_on_tongue,  vomiting,  cough,  chest_pain",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
22,GERD," stomach_pain,  acidity,  vomiting,  cough,  chest_pain",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
23,GERD," stomach_pain,  acidity,  ulcers_on_tongue,  cough,  chest_pain",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
24,GERD," stomach_pain,  acidity,  ulcers_on_tongue,  vomiting,  chest_pain",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
25,GERD," stomach_pain,  acidity,  ulcers_on_tongue,  vomiting,  cough",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
26,GERD," acidity,  ulcers_on_tongue,  vomiting,  cough,  chest_pain",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
27,GERD," stomach_pain,  ulcers_on_tongue,  vomiting,  cough,  chest_pain",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
28,GERD," stomach_pain,  acidity,  vomiting,  cough,  chest_pain",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
29,GERD," stomach_pain,  acidity,  ulcers_on_tongue,  cough,  chest_pain",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
30,Chronic cholestasis,"itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes",cold baths,anti itch medicine,consult doctor,eat healthy
31,Chronic cholestasis," vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes",cold baths,anti itch medicine,consult doctor,eat healthy
32,Chronic cholestasis,"itching,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes",cold baths,anti itch medicine,consult doctor,eat healthy
33,Chronic cholestasis,"itching,  vomiting,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes",cold baths,anti itch medicine,consult doctor,eat healthy
